joker_a,joker_b,weight,shared_tags
Bloodstone,Yorick,1,xmult
Blue Joker,Bull,1,+chips
Blue Joker,Castle,1,+chips
Blue Joker,Clever Joker,1,+chips
Blue Joker,Cloud 9,1,deck-size
Blue Joker,Crafty Joker,1,+chips
Blue Joker,DNA,1,deck-size
Blue Joker,Devious Joker,1,+chips
Blue Joker,Driver's License,1,deck-size
Blue Joker,Erosion,1,deck-size
Blue Joker,Hiker,1,+chips
Blue Joker,Hologram,1,deck-size
Blue Joker,Ice Cream,1,+chips
Blue Joker,Marble Joker,1,deck-size
Blue Joker,Odd Todd,1,+chips
Blue Joker,Runner,1,+chips
Blue Joker,Scary Face,1,+chips
Blue Joker,Scholar,1,+chips
Blue Joker,Sly Joker,1,+chips
Blue Joker,Square Joker,1,+chips
Blue Joker,Steel Joker,1,deck-size
Blue Joker,Stone Joker,2,+chips|deck-size
Blue Joker,Stuntman,1,+chips
Blue Joker,Walkie Talkie,1,+chips
Blue Joker,Wee Joker,1,+chips
Blue Joker,Wily Joker,1,+chips
Blueprint,Brainstorm,2,copycat|joker-synergy
Blueprint,Campfire,1,joker-synergy
Blueprint,Castle,1,joker-synergy
Blueprint,DNA,1,copycat
Blueprint,Gift Card,1,joker-synergy
Blueprint,Invisible Joker,1,joker-synergy
Blueprint,Joker Stencil,1,joker-synergy
Blueprint,Madness,1,joker-synergy
Blueprint,Perkeo,1,copycat
Blueprint,Riff-raff,1,joker-synergy
Blueprint,Showman,1,joker-synergy
Blueprint,Steel Joker,1,joker-synergy
Blueprint,Stone Joker,1,joker-synergy
Blueprint,Swashbuckler,1,joker-synergy
Blueprint,Wee Joker,1,joker-synergy
Bootstraps,Bull,1,economy
Bootstraps,Business Card,1,economy
Bootstraps,Ceremonial Dagger,1,economy
Bootstraps,Cloud 9,1,economy
Bootstraps,Crazy Joker,1,+mult
Bootstraps,Credit Card,1,economy
Bootstraps,Delayed Gratification,1,economy
Bootstraps,Droll Joker,1,+mult
Bootstraps,Egg,1,economy
Bootstraps,Erosion,1,+mult
Bootstraps,Even Steven,1,+mult
Bootstraps,Faceless Joker,1,economy
Bootstraps,Fibonacci,1,+mult
Bootstraps,Flash Card,1,+mult
Bootstraps,Fortune Teller,1,+mult
Bootstraps,Gift Card,1,economy
Bootstraps,Gluttonous Joker,1,+mult
Bootstraps,Golden Joker,1,economy
Bootstraps,Golden Ticket,1,economy
Bootstraps,Greedy Joker,1,+mult
Bootstraps,Green Joker,1,+mult
Bootstraps,Gros Michel,1,+mult
Bootstraps,Half Joker,1,+mult
Bootstraps,Joker,1,+mult
Bootstraps,Jolly Joker,1,+mult
Bootstraps,Lusty Joker,1,+mult
Bootstraps,Mad Joker,1,+mult
Bootstraps,Mail-In Rebate,1,economy
Bootstraps,Matador,1,economy
Bootstraps,Mystic Summit,1,+mult
Bootstraps,Onyx Agate,1,+mult
Bootstraps,Popcorn,1,+mult
Bootstraps,Red Card,1,+mult
Bootstraps,Reserved Parking,1,economy
Bootstraps,Ride the Bus,1,+mult
Bootstraps,Rocket,1,economy
Bootstraps,Rough Gem,1,economy
Bootstraps,Satellite,1,economy
Bootstraps,Scholar,1,+mult
Bootstraps,Shoot the Moon,1,+mult
Bootstraps,Smiley Face,1,+mult
Bootstraps,Spare Trousers,1,+mult
Bootstraps,Swashbuckler,1,economy
Bootstraps,To Do List,1,economy
Bootstraps,To the Moon,1,economy
Bootstraps,Trading Card,1,economy
Bootstraps,Vagabond,1,economy
Bootstraps,Walkie Talkie,1,+mult
Bootstraps,Wrathful Joker,1,+mult
Bootstraps,Zany Joker,1,+mult
Brainstorm,Campfire,1,joker-synergy
Brainstorm,Castle,1,joker-synergy
Brainstorm,DNA,1,copycat
Brainstorm,Gift Card,1,joker-synergy
Brainstorm,Invisible Joker,1,joker-synergy
Brainstorm,Joker Stencil,1,joker-synergy
Brainstorm,Madness,1,joker-synergy
Brainstorm,Perkeo,1,copycat
Brainstorm,Riff-raff,1,joker-synergy
Brainstorm,Showman,1,joker-synergy
Brainstorm,Steel Joker,1,joker-synergy
Brainstorm,Stone Joker,1,joker-synergy
Brainstorm,Swashbuckler,1,joker-synergy
Brainstorm,Wee Joker,1,joker-synergy
Bull,Business Card,1,economy
Bull,Castle,1,+chips
Bull,Ceremonial Dagger,1,economy
Bull,Clever Joker,1,+chips
Bull,Cloud 9,1,economy
Bull,Crafty Joker,1,+chips
Bull,Credit Card,1,economy
Bull,Delayed Gratification,1,economy
Bull,Devious Joker,1,+chips
Bull,Egg,1,economy
Bull,Faceless Joker,1,economy
Bull,Gift Card,1,economy
Bull,Golden Joker,1,economy
Bull,Golden Ticket,1,economy
Bull,Hiker,1,+chips
Bull,Ice Cream,1,+chips
Bull,Mail-In Rebate,1,economy
Bull,Matador,1,economy
Bull,Odd Todd,1,+chips
Bull,Reserved Parking,1,economy
Bull,Rocket,1,economy
Bull,Rough Gem,1,economy
Bull,Runner,1,+chips
Bull,Satellite,1,economy
Bull,Scary Face,1,+chips
Bull,Scholar,1,+chips
Bull,Sly Joker,1,+chips
Bull,Square Joker,1,+chips
Bull,Stone Joker,1,+chips
Bull,Stuntman,1,+chips
Bull,Swashbuckler,1,economy
Bull,To Do List,1,economy
Bull,To the Moon,1,economy
Bull,Trading Card,1,economy
Bull,Vagabond,1,economy
Bull,Walkie Talkie,1,+chips
Bull,Wee Joker,1,+chips
Bull,Wily Joker,1,+chips
Burglar,Burnt Joker,1,discards
Burglar,Campfire,1,blind-aware
Burglar,Cartomancer,1,blind-aware
Burglar,Castle,1,discards
Burglar,Ceremonial Dagger,1,blind-aware
Burglar,Chicot,1,blind-aware
Burglar,Delayed Gratification,1,discards
Burglar,Drunkard,1,discards
Burglar,Faceless Joker,1,discards
Burglar,Green Joker,1,discards
Burglar,Hit the Road,1,discards
Burglar,Luchador,1,blind-aware
Burglar,Madness,1,blind-aware
Burglar,Mail-In Rebate,1,discards
Burglar,Matador,1,blind-aware
Burglar,Merry Andy,1,discards
Burglar,Mystic Summit,1,discards
Burglar,Ramen,1,discards
Burglar,Riff-raff,1,blind-aware
Burglar,Rocket,1,blind-aware
Burglar,Throwback,1,blind-aware
Burglar,Trading Card,1,discards
Burglar,Yorick,1,discards
Burnt Joker,Castle,1,discards
Burnt Joker,Delayed Gratification,1,discards
Burnt Joker,Drunkard,1,discards
Burnt Joker,Faceless Joker,1,discards
Burnt Joker,Green Joker,1,discards
Burnt Joker,Hit the Road,1,discards
Burnt Joker,Mail-In Rebate,1,discards
Burnt Joker,Merry Andy,1,discards
Burnt Joker,Mystic Summit,1,discards
Burnt Joker,Ramen,1,discards
Burnt Joker,Trading Card,1,discards
Burnt Joker,Yorick,1,discards
Business Card,Canio,2,aces|face-cards
Business Card,Cavendish,1,probability
Business Card,Ceremonial Dagger,1,economy
Business Card,Cloud 9,1,economy
Business Card,Credit Card,1,economy
Business Card,Delayed Gratification,1,economy
Business Card,Egg,1,economy
Business Card,Faceless Joker,3,aces|economy|face-cards
Business Card,Fibonacci,1,aces
Business Card,Gift Card,1,economy
Business Card,Golden Joker,1,economy
Business Card,Golden Ticket,1,economy
Business Card,Gros Michel,1,probability
Business Card,Hallucination,1,probability
Business Card,Hit the Road,1,face-cards
Business Card,Mail-In Rebate,2,aces|economy
Business Card,Matador,1,economy
Business Card,Midas Mask,2,aces|face-cards
Business Card,Pareidolia,2,aces|face-cards
Business Card,Photograph,2,aces|face-cards
Business Card,Reserved Parking,4,aces|economy|face-cards|probability
Business Card,Ride the Bus,2,aces|face-cards
Business Card,Rocket,1,economy
Business Card,Rough Gem,1,economy
Business Card,Satellite,1,economy
Business Card,Scary Face,2,aces|face-cards
Business Card,Scholar,1,aces
Business Card,Shoot the Moon,1,face-cards
Business Card,Smiley Face,2,aces|face-cards
Business Card,Sock and Buskin,2,aces|face-cards
Business Card,Space Joker,1,probability
Business Card,Superposition,1,aces
Business Card,Swashbuckler,1,economy
Business Card,To Do List,1,economy
Business Card,To the Moon,1,economy
Business Card,Trading Card,1,economy
Business Card,Triboulet,1,face-cards
Business Card,Vagabond,1,economy
Campfire,Canio,1,xmult
Campfire,Card Sharp,1,xmult
Campfire,Cartomancer,1,blind-aware
Campfire,Castle,2,joker-synergy|scaling
Campfire,Cavendish,1,xmult
Campfire,Ceremonial Dagger,1,blind-aware
Campfire,Chaos the Clown,1,scaling
Campfire,Chicot,1,blind-aware
Campfire,Constellation,2,scaling|xmult
Campfire,Delayed Gratification,1,scaling
Campfire,Driver's License,1,xmult
Campfire,Egg,1,scaling
Campfire,Flash Card,1,scaling
Campfire,Flower Pot,1,xmult
Campfire,Fortune Teller,1,scaling
Campfire,Gift Card,1,joker-synergy
Campfire,Glass Joker,2,scaling|xmult
Campfire,Green Joker,1,scaling
Campfire,Hiker,1,scaling
Campfire,Hit the Road,2,scaling|xmult
Campfire,Hologram,2,scaling|xmult
Campfire,Invisible Joker,1,joker-synergy
Campfire,Joker Stencil,2,joker-synergy|xmult
Campfire,Loyalty Card,1,xmult
Campfire,Luchador,1,blind-aware
Campfire,Lucky Cat,2,scaling|xmult
Campfire,Madness,3,blind-aware|joker-synergy|xmult
Campfire,Matador,1,blind-aware
Campfire,Obelisk,2,scaling|xmult
Campfire,Photograph,1,xmult
Campfire,Popcorn,1,scaling
Campfire,Ramen,2,scaling|xmult
Campfire,Red Card,1,scaling
Campfire,Ride the Bus,1,scaling
Campfire,Riff-raff,2,blind-aware|joker-synergy
Campfire,Rocket,2,blind-aware|scaling
Campfire,Runner,1,scaling
Campfire,Satellite,1,scaling
Campfire,Seeing Double,1,xmult
Campfire,Showman,1,joker-synergy
Campfire,Spare Trousers,1,scaling
Campfire,Square Joker,1,scaling
Campfire,Steel Joker,3,joker-synergy|scaling|xmult
Campfire,Stone Joker,2,joker-synergy|scaling
Campfire,Swashbuckler,1,joker-synergy
Campfire,The Duo,1,xmult
Campfire,The Family,1,xmult
Campfire,The Idol,1,xmult
Campfire,The Order,1,xmult
Campfire,The Tribe,1,xmult
Campfire,The Trio,1,xmult
Campfire,Throwback,2,blind-aware|xmult
Campfire,Triboulet,1,xmult
Campfire,Troubadour,1,scaling
Campfire,Vampire,2,scaling|xmult
Campfire,Wee Joker,2,joker-synergy|scaling
Campfire,Yorick,1,xmult
Canio,Card Sharp,1,xmult
Canio,Cavendish,2,destruction|xmult
Canio,Ceremonial Dagger,1,destruction
Canio,Constellation,1,xmult
Canio,Driver's License,1,xmult
Canio,Faceless Joker,2,aces|face-cards
Canio,Fibonacci,1,aces
Canio,Flower Pot,1,xmult
Canio,Glass Joker,2,destruction|xmult
Canio,Gros Michel,1,destruction
Canio,Hit the Road,2,face-cards|xmult
Canio,Hologram,1,xmult
Canio,Joker Stencil,1,xmult
Canio,Loyalty Card,1,xmult
Canio,Lucky Cat,1,xmult
Canio,Madness,2,destruction|xmult
Canio,Mail-In Rebate,1,aces
Canio,Midas Mask,2,aces|face-cards
Canio,Obelisk,1,xmult
Canio,Pareidolia,2,aces|face-cards
Canio,Photograph,3,aces|face-cards|xmult
Canio,Ramen,1,xmult
Canio,Reserved Parking,2,aces|face-cards
Canio,Ride the Bus,2,aces|face-cards
Canio,Scary Face,2,aces|face-cards
Canio,Scholar,1,aces
Canio,Seeing Double,1,xmult
Canio,Shoot the Moon,1,face-cards
Canio,Sixth Sense,1,destruction
Canio,Smiley Face,2,aces|face-cards
Canio,Sock and Buskin,2,aces|face-cards
Canio,Steel Joker,1,xmult
Canio,Superposition,1,aces
Canio,The Duo,1,xmult
Canio,The Family,1,xmult
Canio,The Idol,1,xmult
Canio,The Order,1,xmult
Canio,The Tribe,1,xmult
Canio,The Trio,1,xmult
Canio,Throwback,1,xmult
Canio,Trading Card,1,destruction
Canio,Triboulet,2,face-cards|xmult
Canio,Vampire,1,xmult
Canio,Yorick,1,xmult
Card Sharp,Cavendish,1,xmult
Card Sharp,Constellation,1,xmult
Card Sharp,Driver's License,1,xmult
Card Sharp,Flower Pot,1,xmult
Card Sharp,Glass Joker,1,xmult
Card Sharp,Hit the Road,1,xmult
Card Sharp,Hologram,1,xmult
Card Sharp,Joker Stencil,1,xmult
Card Sharp,Loyalty Card,1,xmult
Card Sharp,Lucky Cat,1,xmult
Card Sharp,Madness,1,xmult
Card Sharp,Obelisk,1,xmult
Card Sharp,Photograph,1,xmult
Card Sharp,Ramen,1,xmult
Card Sharp,Seeing Double,1,xmult
Card Sharp,Steel Joker,1,xmult
Card Sharp,The Duo,1,xmult
Card Sharp,The Family,1,xmult
Card Sharp,The Idol,1,xmult
Card Sharp,The Order,1,xmult
Card Sharp,The Tribe,1,xmult
Card Sharp,The Trio,1,xmult
Card Sharp,Throwback,1,xmult
Card Sharp,Triboulet,1,xmult
Card Sharp,Vampire,1,xmult
Card Sharp,Yorick,1,xmult
Cartomancer,Ceremonial Dagger,1,blind-aware
Cartomancer,Chicot,1,blind-aware
Cartomancer,Fortune Teller,1,tarot
Cartomancer,Hallucination,1,tarot
Cartomancer,Luchador,1,blind-aware
Cartomancer,Madness,1,blind-aware
Cartomancer,Matador,1,blind-aware
Cartomancer,Riff-raff,1,blind-aware
Cartomancer,Rocket,1,blind-aware
Cartomancer,Showman,1,tarot
Cartomancer,Superposition,1,tarot
Cartomancer,Throwback,1,blind-aware
Cartomancer,Vagabond,1,tarot
Castle,Chaos the Clown,1,scaling
Castle,Clever Joker,1,+chips
Castle,Constellation,1,scaling
Castle,Crafty Joker,1,+chips
Castle,Delayed Gratification,2,discards|scaling
Castle,Devious Joker,1,+chips
Castle,Drunkard,1,discards
Castle,Egg,1,scaling
Castle,Faceless Joker,1,discards
Castle,Flash Card,1,scaling
Castle,Flower Pot,1,suit:Spades
Castle,Fortune Teller,1,scaling
Castle,Gift Card,1,joker-synergy
Castle,Glass Joker,1,scaling
Castle,Green Joker,2,discards|scaling
Castle,Hiker,2,+chips|scaling
Castle,Hit the Road,2,discards|scaling
Castle,Hologram,1,scaling
Castle,Ice Cream,1,+chips
Castle,Invisible Joker,1,joker-synergy
Castle,Joker Stencil,1,joker-synergy
Castle,Lucky Cat,1,scaling
Castle,Madness,1,joker-synergy
Castle,Mail-In Rebate,1,discards
Castle,Merry Andy,1,discards
Castle,Mystic Summit,1,discards
Castle,Obelisk,1,scaling
Castle,Odd Todd,1,+chips
Castle,Popcorn,1,scaling
Castle,Ramen,2,discards|scaling
Castle,Red Card,1,scaling
Castle,Ride the Bus,1,scaling
Castle,Riff-raff,1,joker-synergy
Castle,Rocket,1,scaling
Castle,Runner,2,+chips|scaling
Castle,Satellite,1,scaling
Castle,Scary Face,1,+chips
Castle,Scholar,1,+chips
Castle,Showman,1,joker-synergy
Castle,Sly Joker,1,+chips
Castle,Smeared Joker,1,suit:Spades
Castle,Spare Trousers,1,scaling
Castle,Square Joker,2,+chips|scaling
